 Source Port, Destination Port, Protocol, Flow Duration, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,target
42322,5619,6,8276911,808.1517368,4.470266746,229914.1944,1012310.191,5569801,4,484053.6471,1453289.169,5569801,4,459771.5556,1420241.781,5574195,28,2657052,0,2657052,2657052,5569801,0,5569801,5569801,0
49539,40033,17,445426,808.215057,13.47025095,89085.2,59966.84002,133426,866,157965.5,38994.81766,185539,130392,157950,33457.46446,181608,134292,0,0,0,0,0,0,0,0,0
41071,443,6,4700552,808.6284334,2.765632632,391712.6667,1122223.077,3932612,51,940080.8,1681024.187,3932780,848,783381.6667,1550492.934,3933045,1047,0,0,0,0,0,0,0,0,1
49539,40006,17,212643,808.8674445,9.405435401,212643,0,212643,212643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46711,443,6,7531951,808.9537492,3.584728578,289690.4231,1436006.225,7329904,2,682425.8182,2213311.189,7355187,2,536171.7143,1962961.365,7355987,8,103805,0,103805,103805,7329904,0,7329904,7329904,0
59247,443,6,130958,809.419814,30.54414392,43652.66667,74901.20189,130140,27,0,0,0,0,409,540.2295808,791,27,0,0,0,0,0,0,0,0,0
37882,465,6,3269478,809.6093627,9.481635906,108982.6,190053.8689,952501,43,260658.6667,324806.6516,1107517,398,184002.7647,228220.8671,952501,44,0,0,0,0,0,0,0,0,0
51941,443,6,130898,809.7908295,30.55814451,43632.66667,75376.54241,130670,104,0,0,0,0,114,14.14213562,124,104,0,0,0,0,0,0,0,0,0
443,57866,6,8795264,809.8676742,3.865716822,266523.1515,599283.9416,2031265,8,549703.0625,779615.0069,2031295,28,549701.4375,812115.9321,2211593,26,0,0,0,0,0,0,0,0,1
37870,465,6,3232568,809.8824217,10.20860195,101017.75,164928.7963,826859,18,215502.8667,277452.9236,1006595,612,193142.25,202082.5055,826859,37,0,0,0,0,0,0,0,0,0
57926,443,6,8342951,809.9052721,7.910869907,128353.0923,517834.9057,3741198,30,308998.1852,776804.7493,3742758,76,225473.1892,674609.1803,3741575,30,0,0,0,0,0,0,0,0,0
37837,465,6,3274137,810.2898565,9.773567813,105617.3226,171398.4874,782711,15,260521.8333,298335.4627,952306,174,173938.7222,201374.6569,782711,25,0,0,0,0,0,0,0,0,0
55398,26617,6,8298037,810.3121256,6.146031887,165960.74,211579.9118,1079410,15,264667.6,336410.3392,1236530,20,428448.6842,347578.249,1237005,2031,0,0,0,0,0,0,0,0,0
34251,443,6,3426815,810.3734809,2.626345455,428351.875,600815.5151,1765823,40,856703.75,761311.5703,1765823,176526,1060934,1018594.344,2191421,214561,0,0,0,0,0,0,0,0,0
52719,47872,6,2737212,810.6788952,6.576034301,161012.4706,157525.1497,348382,25,299334.625,28116.29722,348407,281003,306392.5,31545.59632,348817,280619,0,0,0,0,0,0,0,0,0
52379,443,6,130676,811.1665493,30.61005847,43558.66667,74875.59445,130017,61,0,0,0,0,329.5,379.7163415,598,61,0,0,0,0,0,0,0,0,0
56113,443,6,669303,811.2917468,4.482274844,334651.5,473200.8077,669255,48,0,0,0,0,669255,0,669255,669255,0,0,0,0,0,0,0,0,1
46711,443,6,7566556,811.3334521,3.70049465,280242.8148,1415266.018,7361391,2,685570.7273,2222786.61,7386880,2,502723.0667,1904534.331,7386875,7,105733,0,105733,105733,7361391,0,7361391,7361391,0
49539,40004,17,443699,811.360855,13.52268092,88739.8,59917.26656,132780,883,157369,33525.34671,181075,133663,155459.5,35087.34559,180270,130649,0,0,0,0,0,0,0,0,0
49814,443,6,5092480,811.5888526,3.141887646,339498.6667,1284491.173,4982431,12,565831.1111,1656358.793,4982431,32,9726,12833.78613,24815,50,0,0,0,0,0,0,0,0,0
32875,19290,6,9777095,811.5907639,6.443631774,157695.0806,174223.782,670128,13,259068.3514,252708.3573,930156,27,395178.5417,293075.0152,1208023,37,0,0,0,0,0,0,0,0,0
443,41994,6,7286670,811.7562618,2.607501095,404815,1159064.485,4752564,40,809630,1597444.815,4793408,2529,905684.5,1657965.427,4752605,2293,0,0,0,0,0,0,0,0,1
52208,443,6,130556,811.9121297,38.29774197,32639,65228.66714,130482,16,130533,0,130533,130533,37,2.828427125,39,35,0,0,0,0,0,0,0,0,0
46711,443,6,7563440,811.9321367,3.702019187,280127.4074,1415545.576,7362704,5,685289.6364,2223277.43,7388116,5,502532.2,1905064.763,7388628,20,98589,0,98589,98589,7362704,0,7362704,7362704,0
49539,40033,17,443380,811.9446073,13.53241012,88676,59792.37513,132670,994,157379.5,33538.78174,181095,133664,155355,34799.55313,179962,130748,0,0,0,0,0,0,0,0,0
39784,443,6,130499,812.2667607,30.65157587,43499.66667,75244.90594,130385,54,0,0,0,0,57,4.242640687,60,54,0,0,0,0,0,0,0,0,0
49539,40004,17,443164,812.3403526,13.53900588,88632.8,60017.2373,131102,771,156302.5,34548.53022,180732,131873,156031,35906.88235,181421,130641,0,0,0,0,0,0,0,0,0
49539,40033,17,443143,812.3788484,13.53964747,88628.6,59656.47475,130605,1254,156295.5,34558.42972,180732,131859,156269,35969.10775,181703,130835,0,0,0,0,0,0,0,0,0
61009,64683,17,223979,812.576179,8.929408561,223979,0,223979,223979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33309,443,6,5097024,812.6310569,2.158122073,509702.4,1359998.416,4371970,70,1019404.8,1881323.307,4372053,34668,1214094.25,2131397.817,4408450,34682,0,0,0,0,0,0,0,0,0
46711,443,6,7636914,812.7628516,3.53545948,293727.4615,1457361.375,7438656,5,691962.1818,2246285.387,7464187,5,543665.9286,1991865.331,7463913,13,101936,0,101936,101936,7438656,0,7438656,7438656,0
55662,443,6,38133,812.9441691,104.8960218,12711,21978.86492,38090,5,38128,0,38128,38128,43,0,43,43,0,0,0,0,0,0,0,0,0
45184,443,6,7974690,813.1977544,8.777770672,115575.2174,341967.512,2553470,21,290751.0741,561181.0367,2679428,54,191478.7805,463183.1157,2675627,21,0,0,0,0,0,0,0,0,0
58167,443,6,9345531,813.4369251,2.996084439,346130.7778,687265.0438,3185400,36,718887,856262.6057,3185436,676,718871,856336.5073,3185455,639,0,0,0,0,0,0,0,0,1
33827,110,6,9237950,813.4921709,2.38148074,439902.381,726115.0531,2555650,27,839813.6364,833224.9818,2555650,27,1026248.778,813017.0634,2556160,1877,0,0,0,0,0,0,0,0,1
51898,443,6,130214,814.0445728,30.71866312,43404.66667,74362.66285,129270,67,0,0,0,0,472,572.7564928,877,67,0,0,0,0,0,0,0,0,0
49539,30582,17,51588,814.1428239,38.7687059,51588,0,51588,51588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51947,443,6,130161,814.376042,30.7311714,43387,74557.57073,129478,48,0,0,0,0,341.5,415.0716806,635,48,0,0,0,0,0,0,0,0,0
33104,443,6,6216552,814.4386148,3.056356643,345364,843004.046,3625900,30,621655.2,1211401.501,4010691,57,837981.8571,1265141.951,3625900,23242,0,0,0,0,0,0,0,0,0
42915,465,6,2693724,814.4858196,12.99316485,79227.17647,214713.6162,1056949,30,187162.7143,311454.2776,1062183,462,138326.3684,275633.458,1056949,510,0,0,0,0,0,0,0,0,0
51000,21,6,678844,814.6201484,11.78473994,96977.71429,110104.6003,221930,22,135768.8,124939.4807,258010,22,223459,0,223459,223459,0,0,0,0,0,0,0,0,0
51939,443,6,130121,814.6263862,30.74061835,43373.66667,75020.60531,130000,60,0,0,0,0,60.5,0.707106781,61,60,0,0,0,0,0,0,0,0,0
56604,56289,6,9942420,814.6909907,8.046330773,125853.4177,173159.1705,836740,15,211540.8511,237023.4729,836740,18,316329.871,240815.7957,1010133,91,0,0,0,0,0,0,0,0,0
46711,443,6,7659553,814.9300618,3.52500988,294598.1923,1459759.613,7451234,10,694024.8182,2249862.091,7476955,10,545249.7143,1995093.168,7476666,26,106194,0,106194,106194,7451234,0,7451234,7451234,0
49539,40004,17,441727,814.9830099,13.58305016,88345.4,59749.68812,130555,743,155586,35387.86597,180609,130563,156037.5,34986.93643,180777,131298,0,0,0,0,0,0,0,0,0
45184,443,6,9500516,815.0083638,7.262763412,139713.4706,378251.9427,2057215,15,347282.0741,609076.747,2183673,48,237510.575,516608.4691,2183346,22,0,0,0,0,0,0,0,0,0
40273,40001,17,255134,815.2578645,7.839017928,255134,0,255134,255134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37857,465,6,3246807,815.2625025,9.547841926,108226.9,175788.083,808869,16,258651.4167,303952.421,961307,279,182458.2353,206235.397,808869,26,0,0,0,0,0,0,0,0,0
49539,30582,17,51517,815.264864,38.82213638,51517,0,51517,51517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,61802,17,8780172,815.3598813,2.733431646,381746.6087,716269.3745,2412563,2,795906.2727,900052.087,2438351,2,795886.3636,898279.7275,2437443,57,0,0,0,0,0,0,0,0,0
49539,56289,17,9510860,815.5939631,2.944002961,352254.0741,623882.158,2162338,0,0,0,0,0,306557.9231,588356.3409,2162338,0,0,0,0,0,0,0,0,0,0
15685,40019,17,804262,815.6546001,9.947007319,114894.5714,116662.2025,347946,90,191400,177182.045,349855,90,152105.3333,96877.60294,263934,93735,0,0,0,0,0,0,0,0,0
41071,443,6,6583740,815.949597,2.430229626,438916,1470354.994,5741485,41,940436,2121789.409,5741786,1469,940488,2120660.653,5741776,2202,321779,0,321779,321779,5741485,0,5741485,5741485,1
49539,40004,17,441145,816.0582122,13.6009702,88229,59345.68965,129902,709,155621.5,36876.32575,181697,129546,156154,36321.24692,181837,130471,0,0,0,0,0,0,0,0,0
38245,443,6,129865,816.2322412,30.80121665,43288.33333,74504.17986,129318,61,0,0,0,0,273.5,300.520382,486,61,0,0,0,0,0,0,0,0,0
56289,42490,6,9977602,816.5288613,42.09428277,23812.8926,36012.92538,266870,16,76025.0687,69792.40364,368352,27,34292.71777,53960.70737,320537,51,0,0,0,0,0,0,0,0,0
38283,443,6,129810,816.5780756,23.11070025,64905,91649.52412,129711,99,0,0,0,0,99,0,99,99,0,0,0,0,0,0,0,0,0
58167,443,6,9972503,816.7458059,2.707444661,383557.8077,1010912.766,4770696,35,820502.1667,1391847.244,4770763,846,767101.9231,1362018.293,4809838,1021,0,0,0,0,0,0,0,0,1
49539,40033,17,440712,816.8599902,13.61433317,88142.4,59509.95441,129718,847,155586.5,35385.74465,180608,130565,155539,35571.71373,180692,130386,0,0,0,0,0,0,0,0,0
61009,64683,17,222785,816.9311219,8.977265076,222785,0,222785,222785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46711,443,6,7592673,817.1035418,3.687765824,281210.1111,1422943.05,7400850,6,687941,2235013.038,7426224,6,504480.8,1915370.865,7427879,19,98495,0,98495,98495,7400850,0,7400850,7400850,0
37875,465,6,3203610,817.2030928,9.052287888,114414.6429,176469.846,811710,30,278231.4545,303090.6228,967966,1212,191328.3125,204024.2341,811710,30,0,0,0,0,0,0,0,0,0
42513,443,6,7656295,817.236013,2.873452499,364585.4762,1550080.374,7124023,13,696026.8182,2133485.085,7124023,42,823243.2222,2442000.608,7334932,22,247395,0,247395,247395,7124023,0,7124023,7124023,0
